,dsf_number_s_,final_estimate_of_actual_costs_through_end_of_phase_amount,project_budget_amount,project_building_identifier,project_description,project_geographic_district_,project_phase_actual_end_date,project_phase_actual_start_date,project_phase_name,project_phase_planned_end_date,project_school_name,project_status_name,project_type_,total_phase_actual_spending_amount,budget_label
0,DSF: 0000800510,34650,35000,K001,FY15 RESO A TECHNOLOGY,15,2017-05-02 15:32:05.469136,2015-05-13 00:00:00,Purch & Install,2015-06-04 00:00:00,P.S. 1 - BROOKLYN,In-Progress,DIIT - RESOA,34650,0
1,"DSF: 0000755358, 0000775595",346508,353360,K001,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,15,2015-11-18 00:00:00,2014-06-27 00:00:00,"CM, F&E",2015-09-19 00:00:00,P.S. 1 - BROOKLYN,Complete,SCA CIP,338667,2
2,"DSF: 0000755358, 0000775595",5457289,5679000,K001,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,15,2015-11-18 00:00:00,2014-06-27 00:00:00,Construction,2015-09-19 00:00:00,P.S. 1 - BROOKLYN,Complete,SCA CIP,4236349,2
3,"DSF: 0000755358, 0000775595",243736,302880,K001,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,15,2014-01-30 00:00:00,2013-09-25 00:00:00,Design,2014-03-03 00:00:00,P.S. 1 - BROOKLYN,Complete,SCA CIP,236590,2
4,"DSF: 0000755358, 0000775595",77547,75720,K001,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,15,2013-09-24 00:00:00,2013-06-27 00:00:00,Scope,2013-11-29 00:00:00,P.S. 1 - BROOKLYN,Complete,SCA CIP,74748,1
5,DSF: 0000800542,64349,65000,K002,FY15 RESO A TECHNOLOGY,17,2015-10-23 00:00:00,2015-08-27 00:00:00,Purch & Install,2015-09-18 00:00:00,PARKSIDE PREPARATORY ACADEMY,Complete,DIIT - RESOA,64349,1
6,DSF: 0000776639,280442,DIIT,K003,CLASSROOM CONNECTIVITY,13,2017-05-02 15:32:05.469136,2013-06-24 00:00:00,Purch & Install,2013-12-31 00:00:00,P.S. 3 - BROOKLYN,In-Progress,DIIT - Project Conne,0,3
7,DSF: 0000800511,168299,170000,K003,FY15 RESO A TECHNOLOGY,13,2015-10-06 00:00:00,2015-08-27 00:00:00,Purch & Install,2015-09-18 00:00:00,P.S. 003 THE BEDFORD VILLAGE,Complete,DIIT - RESOA,168299,1
8,DSF: 0000801203,120424,DOES,K003,TOILETS - STUDENTS,13,2017-05-02 15:32:05.469136,2015-08-14 00:00:00,Construction,DOES,P.S. 3 - BROOKLYN,In-Progress,DOE - Skilled Trades,105275,3
9,DSF: 0000755394,106245,174680,K003,ELECTRICAL LIGHTING FIXTURES,13,2015-10-08 00:00:00,2015-01-12 00:00:00,"CM, F&E",2015-10-08 00:00:00,P.S. 3 - BROOKLYN,Complete,RCT CIP,106245,1
10,DSF: 0000755394,842707,909130,K003,ELECTRICAL LIGHTING FIXTURES,13,2015-10-08 00:00:00,2015-01-12 00:00:00,Construction,2015-10-08 00:00:00,P.S. 3 - BROOKLYN,Complete,RCT CIP,490331,2
